Unnamed: 0,Gender,Married,Dependents,Education,Self_Employed,ApplicantIncome,CoapplicantIncome,LoanAmount,Loan_Amount_Term,Credit_History,Property_Area,Loan_Status,kfolds
182,Male,Yes,0,Graduate,No,4600,0.0,73.0,180.0,1.0,Semiurban,Y,0
349,Male,Yes,0,Graduate,No,2625,6250.0,187.0,360.0,1.0,Rural,Y,0
364,Male,No,0,Graduate,No,3250,1993.0,126.0,360.0,None,Semiurban,-1,0
162,Male,No,0,Graduate,No,5583,0.0,116.0,360.0,1.0,Urban,-1,0
186,Male,Yes,1,Graduate,Yes,2178,0.0,66.0,300.0,0.0,Rural,N,0
445,Male,Yes,1,Graduate,Yes,3466,1210.0,130.0,360.0,1.0,Rural,Y,0
339,Female,No,0,Graduate,No,4333,2333.0,162.0,360.0,0.0,Rural,-1,0
406,Male,Yes,0,Not Graduate,No,2167,2400.0,115.0,360.0,1.0,Urban,Y,0
214,Male,Yes,0,Graduate,No,3173,3021.0,137.0,360.0,1.0,Urban,Y,0
167,Male,Yes,0,Graduate,No,3042,3167.0,135.0,360.0,1.0,Urban,-1,0
242,Male,Yes,0,Graduate,No,3510,828.0,105.0,360.0,1.0,Semiurban,-1,0
579,Male,No,0,Graduate,None,3182,2917.0,161.0,360.0,1.0,Urban,Y,0
72,Male,No,0,Graduate,No,3500,0.0,81.0,300.0,1.0,Semiurban,Y,0
539,Male,Yes,3+,Graduate,No,6417,0.0,157.0,180.0,1.0,Rural,Y,0
525,Male,Yes,2,Graduate,Yes,17500,0.0,400.0,360.0,1.0,Rural,Y,0
145,Female,Yes,0,Graduate,No,2330,4486.0,100.0,360.0,1.0,Semiurban,Y,0
532,Male,No,2,Graduate,No,3588,0.0,110.0,360.0,0.0,Rural,N,0
73,Male,Yes,0,Graduate,Yes,3900,2094.0,232.0,360.0,1.0,Rural,-1,0
155,Male,Yes,3+,Graduate,No,39999,0.0,600.0,180.0,0.0,Semiurban,Y,0
606,Male,Yes,1,Graduate,No,3400,2500.0,173.0,360.0,1.0,Semiurban,Y,0
140,Male,No,0,Graduate,No,4727,0.0,150.0,360.0,0.0,Rural,-1,0
124,Female,No,0,Graduate,No,12500,0.0,300.0,360.0,0.0,Urban,-1,0
425,Male,Yes,0,Graduate,No,2666,4300.0,121.0,360.0,1.0,Rural,Y,0
190,Male,No,0,Not Graduate,No,4885,0.0,48.0,360.0,1.0,Rural,Y,0
164,Male,No,1,Graduate,No,3180,2370.0,80.0,240.0,None,Rural,-1,0
58,Female,Yes,2,Graduate,No,2779,3664.0,176.0,360.0,0.0,Semiurban,-1,0
221,Male,Yes,2,Graduate,No,4009,1717.0,116.0,360.0,1.0,Semiurban,Y,0
88,Male,No,0,Graduate,No,8566,0.0,210.0,360.0,1.0,Urban,Y,0
309,Male,Yes,2,Not Graduate,No,7667,0.0,185.0,360.0,None,Rural,Y,0
76,Male,No,0,Graduate,No,3750,4750.0,176.0,360.0,1.0,Urban,N,0
603,Male,No,0,Graduate,No,3676,4301.0,172.0,360.0,1.0,Rural,Y,0
171,Male,Yes,2,Not Graduate,No,4483,0.0,130.0,360.0,1.0,Rural,-1,0
93,Male,Yes,2,Not Graduate,No,4766,1646.0,100.0,360.0,1.0,Semiurban,-1,0
332,Male,No,None,Graduate,No,2833,0.0,71.0,360.0,1.0,Urban,Y,0
63,Male,Yes,1,Graduate,No,4945,0.0,0.0,360.0,0.0,Rural,N,0
562,Male,Yes,0,Graduate,No,5923,2054.0,211.0,360.0,1.0,Rural,Y,0
122,Male,Yes,3+,Graduate,No,3350,1560.0,135.0,360.0,1.0,Urban,-1,0
337,Male,Yes,2,Graduate,Yes,2500,4600.0,176.0,360.0,1.0,Rural,Y,0
586,Male,Yes,0,Graduate,No,2297,1522.0,104.0,360.0,1.0,Urban,Y,0
285,Male,Yes,1,Graduate,None,8750,0.0,297.0,360.0,1.0,Urban,-1,0
410,Female,No,1,Not Graduate,Yes,3867,0.0,62.0,360.0,1.0,Semiurban,N,0
302,Female,No,0,Graduate,No,5000,0.0,132.0,360.0,1.0,Rural,Y,0
494,Male,Yes,0,Graduate,No,3597,2157.0,119.0,360.0,0.0,Rural,N,0
251,Male,Yes,None,Graduate,No,3863,0.0,70.0,300.0,1.0,Semiurban,-1,0
477,None,Yes,2,Graduate,No,2873,1872.0,132.0,360.0,0.0,Semiurban,N,0
141,Male,No,0,Graduate,No,5417,0.0,168.0,360.0,1.0,Urban,Y,0
85,Male,Yes,2,Graduate,No,4635,8000.0,102.0,180.0,1.0,Rural,-1,0
45,Female,No,0,Graduate,No,3410,0.0,88.0,None,1.0,Urban,Y,0
168,Male,No,0,Graduate,No,2237,0.0,63.0,480.0,0.0,Semiurban,N,0
268,Female,No,0,Graduate,None,3418,0.0,135.0,360.0,1.0,Rural,N,0
356,Male,Yes,1,Graduate,No,3791,1936.0,85.0,360.0,1.0,Urban,-1,0
47,Male,No,0,Not Graduate,No,2356,1902.0,108.0,360.0,1.0,Semiurban,-1,0
116,Female,Yes,0,Graduate,No,3167,2283.0,154.0,360.0,1.0,Semiurban,Y,0
74,Male,Yes,0,Not Graduate,No,4750,3583.0,144.0,360.0,1.0,Semiurban,-1,0
236,Male,Yes,0,Graduate,None,5746,0.0,255.0,360.0,None,Urban,N,0
23,None,Yes,2,Not Graduate,No,3365,1917.0,112.0,360.0,0.0,Rural,N,0
120,Male,Yes,None,Graduate,No,5667,2667.0,180.0,360.0,1.0,Rural,Y,0
486,Male,No,2,Graduate,No,3547,0.0,80.0,360.0,0.0,Rural,N,0
190,Female,Yes,1,Graduate,No,4333,0.0,132.0,84.0,1.0,Rural,-1,0
169,Male,Yes,2,Graduate,No,8000,0.0,200.0,360.0,1.0,Semiurban,Y,0
384,Male,Yes,2,Graduate,No,4566,0.0,100.0,360.0,1.0,Urban,N,0
108,Male,Yes,2,Graduate,No,3800,3600.0,216.0,360.0,0.0,Urban,N,0
362,Male,Yes,3+,Not Graduate,Yes,4009,1777.0,113.0,360.0,1.0,Urban,-1,0
422,Male,Yes,0,Graduate,No,1820,1719.0,100.0,360.0,1.0,Urban,Y,0
279,Female,Yes,0,Not Graduate,No,4100,0.0,124.0,360.0,None,Rural,Y,0
443,Male,No,1,Graduate,No,37719,0.0,152.0,360.0,1.0,Semiurban,Y,0
381,Male,No,0,Graduate,No,5941,4232.0,296.0,360.0,1.0,Semiurban,Y,0
354,Female,Yes,0,Graduate,No,2423,505.0,130.0,360.0,1.0,Semiurban,Y,0
386,Male,No,0,Not Graduate,No,2346,1600.0,132.0,360.0,1.0,Semiurban,Y,0
318,None,No,0,Not Graduate,No,4768,0.0,125.0,360.0,1.0,Rural,-1,0
209,Male,No,0,Graduate,No,3418,0.0,127.0,360.0,1.0,Semiurban,N,0
279,None,No,0,Graduate,No,29167,0.0,185.0,360.0,1.0,Semiurban,-1,0
362,Male,Yes,0,Graduate,No,4750,2333.0,130.0,360.0,1.0,Urban,Y,0
33,Male,Yes,0,Graduate,No,2783,2708.0,158.0,360.0,1.0,Urban,-1,0
493,Female,No,0,Not Graduate,Yes,17263,0.0,225.0,360.0,1.0,Semiurban,Y,0
106,Male,Yes,2,Graduate,No,11417,1126.0,225.0,360.0,1.0,Urban,Y,0
342,Male,Yes,3+,Not Graduate,No,3522,0.0,81.0,180.0,1.0,Rural,-1,0
2,Male,Yes,2,Graduate,No,5000,1800.0,208.0,360.0,1.0,Urban,-1,0
2,Male,Yes,0,Graduate,Yes,3000,0.0,66.0,360.0,1.0,Urban,Y,0
161,Male,Yes,0,Graduate,No,7933,0.0,275.0,360.0,1.0,Urban,N,0
156,Male,Yes,1,Graduate,No,6000,0.0,160.0,360.0,None,Rural,Y,0
15,Male,No,0,Graduate,No,4950,0.0,125.0,360.0,1.0,Urban,Y,0
250,Male,Yes,3+,Graduate,No,3242,437.0,142.0,480.0,0.0,Urban,-1,0
320,Male,Yes,1,Graduate,No,2667,1542.0,148.0,360.0,1.0,Rural,-1,0
112,Female,No,0,Graduate,No,3417,0.0,102.0,360.0,1.0,Urban,-1,0
17,Female,No,0,Graduate,No,3510,0.0,76.0,360.0,0.0,Urban,N,0
293,Female,No,None,Graduate,No,5417,0.0,143.0,480.0,0.0,Urban,N,0
161,Male,No,0,Graduate,None,2964,0.0,84.0,360.0,0.0,Semiurban,-1,0
116,Female,No,0,Not Graduate,No,0,1760.0,180.0,360.0,1.0,Semiurban,-1,0
212,Male,Yes,3+,Graduate,Yes,5384,0.0,150.0,360.0,1.0,Semiurban,-1,0
145,Female,No,0,Graduate,No,12941,0.0,150.0,300.0,1.0,Urban,-1,0
455,Male,Yes,2,Graduate,No,3859,0.0,96.0,360.0,1.0,Semiurban,Y,0
305,Male,No,2,Not Graduate,No,2733,1083.0,180.0,360.0,None,Semiurban,-1,0
56,Male,Yes,0,Graduate,No,2132,1591.0,96.0,360.0,1.0,Semiurban,Y,0
41,Male,No,0,Graduate,No,1800,1213.0,47.0,360.0,1.0,Urban,Y,0
502,Male,Yes,2,Graduate,No,4865,5624.0,208.0,360.0,1.0,Semiurban,Y,0
451,Male,Yes,2,Not Graduate,No,1958,1456.0,60.0,300.0,None,Urban,Y,0
321,Female,Yes,0,Not Graduate,No,1647,1762.0,181.0,360.0,1.0,Urban,-1,0
344,Male,Yes,2,Graduate,None,2583,2330.0,125.0,360.0,1.0,Rural,Y,0
130,Male,No,0,Graduate,Yes,20166,0.0,650.0,480.0,None,Urban,Y,0
385,Male,No,1,Graduate,None,3667,0.0,113.0,180.0,1.0,Urban,Y,0
388,Male,Yes,0,Graduate,No,2333,2417.0,136.0,360.0,1.0,Urban,Y,0
307,Female,No,0,Graduate,No,2400,1863.0,104.0,360.0,0.0,Urban,N,0
246,Male,Yes,2,Graduate,No,9703,0.0,112.0,360.0,1.0,Urban,Y,0
122,Female,No,0,Graduate,No,2137,8980.0,137.0,360.0,0.0,Semiurban,Y,0
192,Male,Yes,2,Not Graduate,None,3785,2912.0,180.0,360.0,0.0,Rural,-1,0
252,Female,No,1,Graduate,No,4028,0.0,131.0,360.0,1.0,Semiurban,-1,0
257,Male,Yes,0,Graduate,No,3333,4288.0,160.0,360.0,1.0,Urban,-1,0
482,Male,Yes,0,Graduate,No,2083,3150.0,128.0,360.0,1.0,Semiurban,Y,0
174,Male,Yes,0,Not Graduate,Yes,4344,736.0,87.0,360.0,1.0,Semiurban,N,0
399,Female,No,0,Graduate,No,1500,1800.0,103.0,360.0,0.0,Semiurban,N,0
53,Male,Yes,2,Graduate,No,4116,1000.0,30.0,180.0,1.0,Urban,-1,0
520,Male,Yes,2,Not Graduate,No,2192,1742.0,45.0,360.0,1.0,Semiurban,Y,0
82,Male,Yes,2,Not Graduate,No,4136,0.0,149.0,480.0,0.0,Rural,-1,0
348,Male,Yes,0,Graduate,No,6333,4583.0,259.0,360.0,None,Semiurban,Y,0
531,Male,Yes,3+,Graduate,No,4281,0.0,100.0,360.0,1.0,Urban,Y,0
540,Female,Yes,1,Graduate,No,4608,2845.0,140.0,180.0,1.0,Semiurban,Y,0
247,Male,Yes,1,Not Graduate,No,6608,0.0,137.0,180.0,1.0,Urban,Y,0
526,Male,Yes,0,Graduate,No,3775,0.0,110.0,360.0,1.0,Semiurban,Y,0
244,Male,Yes,0,Not Graduate,No,3406,4417.0,123.0,360.0,1.0,Semiurban,Y,0
259,Male,Yes,3+,Not Graduate,No,4931,0.0,128.0,360.0,None,Semiurban,N,0
71,Male,No,0,Graduate,No,4463,0.0,65.0,360.0,1.0,Semiurban,-1,0
613,Female,No,0,Graduate,Yes,4583,0.0,133.0,360.0,0.0,Semiurban,N,0
593,Male,Yes,0,Graduate,No,3859,3300.0,142.0,180.0,1.0,Rural,Y,0
115,Male,Yes,1,Graduate,No,14583,0.0,185.0,180.0,1.0,Rural,Y,0
435,Female,None,None,Graduate,No,10047,0.0,0.0,240.0,1.0,Semiurban,Y,0
87,Male,No,0,Graduate,No,3066,0.0,95.0,360.0,1.0,Semiurban,-1,0
215,Male,Yes,0,Not Graduate,No,2914,2130.0,150.0,300.0,1.0,Urban,-1,0
265,Male,No,None,Graduate,No,3579,3308.0,138.0,360.0,None,Semiurban,-1,0
242,Male,No,0,Graduate,No,2965,5701.0,155.0,60.0,1.0,Urban,Y,0
113,Female,No,1,Graduate,Yes,7451,0.0,0.0,360.0,1.0,Semiurban,Y,0
222,Male,No,0,Graduate,No,2971,2791.0,144.0,360.0,1.0,Semiurban,Y,0
235,Male,No,0,Graduate,No,2231,2774.0,176.0,360.0,0.0,Urban,-1,0
284,Male,Yes,0,Graduate,No,20667,0.0,0.0,360.0,1.0,Rural,N,0
513,Male,Yes,0,Graduate,No,2130,6666.0,70.0,180.0,1.0,Semiurban,N,0
125,Female,No,0,Graduate,No,3692,0.0,93.0,360.0,None,Rural,Y,0
72,Male,Yes,1,Graduate,None,4083,1775.0,139.0,60.0,1.0,Urban,-1,0
327,Male,Yes,0,Graduate,Yes,5818,2160.0,184.0,360.0,1.0,Semiurban,Y,0
34,Male,No,3+,Graduate,No,12500,3000.0,320.0,360.0,1.0,Rural,N,0
139,Male,Yes,2,Not Graduate,No,4200,1430.0,129.0,360.0,1.0,Rural,N,0
452,Male,Yes,0,Graduate,No,3948,1733.0,149.0,360.0,0.0,Rural,N,0
364,Male,No,0,Graduate,Yes,6822,0.0,141.0,360.0,1.0,Rural,Y,0
434,Male,No,0,Graduate,No,3750,0.0,100.0,360.0,1.0,Urban,Y,0
25,Male,Yes,0,Graduate,Yes,9560,0.0,191.0,360.0,1.0,Semiurban,Y,0
205,Female,No,0,Not Graduate,No,4408,0.0,120.0,360.0,1.0,Semiurban,Y,0
147,Male,Yes,1,Graduate,No,1538,1425.0,30.0,360.0,1.0,Urban,Y,0
289,Male,Yes,1,Graduate,No,8333,4000.0,0.0,360.0,1.0,Urban,-1,0
608,Male,Yes,0,Graduate,No,3232,1950.0,108.0,360.0,1.0,Rural,Y,0
9,Male,Yes,1,Graduate,No,12841,10968.0,349.0,360.0,1.0,Semiurban,N,0
431,Male,No,0,Graduate,No,6500,0.0,105.0,360.0,0.0,Rural,N,0
64,Female,No,0,Graduate,No,4166,0.0,116.0,360.0,0.0,Semiurban,N,0
450,Male,Yes,2,Not Graduate,No,2309,1255.0,125.0,360.0,0.0,Rural,N,0
322,Male,Yes,3+,Graduate,No,3400,0.0,80.0,120.0,1.0,Urban,-1,0
491,Male,Yes,1,Not Graduate,No,5333,1131.0,186.0,360.0,None,Urban,Y,0
583,Male,Yes,1,Graduate,No,1880,0.0,61.0,360.0,None,Rural,N,0
441,Male,Yes,0,Graduate,No,7901,1833.0,180.0,360.0,1.0,Rural,Y,0
178,Male,Yes,2,Graduate,No,5128,0.0,143.0,360.0,1.0,Rural,-1,0
495,Female,Yes,1,Graduate,No,3326,913.0,105.0,84.0,1.0,Semiurban,Y,0
254,Female,Yes,1,Graduate,No,3719,1585.0,114.0,360.0,1.0,Urban,-1,0
194,Male,No,0,Graduate,No,4191,0.0,120.0,360.0,1.0,Rural,Y,0
163,Male,Yes,2,Graduate,No,4167,1447.0,158.0,360.0,1.0,Rural,Y,0
453,Male,Yes,0,Graduate,No,2483,2466.0,90.0,180.0,0.0,Rural,Y,0
551,Male,Yes,1,Not Graduate,No,2492,2375.0,0.0,360.0,1.0,Rural,Y,0
22,None,No,0,Graduate,No,3909,0.0,101.0,360.0,1.0,Urban,-1,0
189,Male,Yes,0,Graduate,No,9328,0.0,188.0,180.0,1.0,Rural,Y,0
306,Female,No,0,Graduate,No,3762,1666.0,135.0,360.0,1.0,Rural,Y,0
216,Male,Yes,0,Not Graduate,No,2747,2458.0,118.0,36.0,1.0,Semiurban,-1,0
61,Male,Yes,0,Graduate,Yes,7016,292.0,125.0,360.0,1.0,Urban,-1,0
480,Female,No,0,Not Graduate,No,4350,0.0,154.0,360.0,1.0,Rural,Y,0
183,Male,Yes,1,Graduate,No,33846,0.0,260.0,360.0,1.0,Semiurban,N,0
84,Male,Yes,0,Graduate,No,4456,0.0,131.0,180.0,0.0,Semiurban,-1,0
220,Male,Yes,0,Graduate,No,2221,0.0,60.0,360.0,0.0,Urban,N,0
426,Female,No,1,Not Graduate,No,4606,0.0,81.0,360.0,1.0,Rural,N,0
290,Male,Yes,0,Graduate,No,3075,2416.0,139.0,360.0,1.0,Rural,Y,0
66,Male,Yes,0,Not Graduate,No,4700,0.0,135.0,360.0,0.0,Semiurban,-1,0
132,Male,No,0,Graduate,No,2718,0.0,70.0,360.0,1.0,Semiurban,Y,0
369,Male,Yes,0,Graduate,No,19730,5266.0,570.0,360.0,1.0,Rural,N,0
311,Female,No,3+,Graduate,No,2366,5272.0,153.0,360.0,0.0,Rural,-1,0
304,Male,No,0,Graduate,No,4000,2500.0,140.0,360.0,1.0,Rural,Y,1
342,Male,Yes,1,Not Graduate,No,4554,1229.0,158.0,360.0,1.0,Urban,Y,1
152,Male,No,0,Graduate,No,5000,0.0,148.0,360.0,1.0,Rural,-1,0
439,Female,Yes,0,Not Graduate,Yes,7142,0.0,138.0,360.0,1.0,Rural,Y,1
7,Male,Yes,3+,Graduate,No,3036,2504.0,158.0,360.0,0.0,Semiurban,N,0
33,Male,Yes,0,Graduate,No,3500,1667.0,114.0,360.0,1.0,Semiurban,Y,1
580,Male,Yes,2,Graduate,No,6540,0.0,205.0,360.0,1.0,Semiurban,Y,1
179,Male,No,0,Not Graduate,No,2333,1451.0,102.0,480.0,0.0,Urban,N,0
211,Male,No,0,Graduate,No,5333,2400.0,200.0,360.0,0.0,Rural,-1,0
115,Male,No,3+,Graduate,No,4243,4123.0,157.0,360.0,None,Semiurban,-1,0
307,Male,Yes,2,Not Graduate,No,3859,0.0,121.0,360.0,1.0,Rural,-1,0
